========================>2020-05-04 17-33-14	N5<========================
iterTime	volumeRate	crossRate	mutateRate	algo_time
1	0.6948	0.85	0.6	134.83572506904602
2	0.6948	0.85	0.6	134.83572506904602
3	0.6948	0.85	0.6	134.83572506904602
4	0.7099	0.85	0.6	134.83572506904602
5	0.7099	0.85	0.6	134.83572506904602
6	0.7099	0.85	0.6	134.83572506904602
7	0.7099	0.85	0.6	134.83572506904602
8	0.7099	0.85	0.6	134.83572506904602
9	0.7285	0.85	0.6	134.83572506904602
10	0.7285	0.85	0.6	134.83572506904602
11	0.7285	0.85	0.6	134.83572506904602
12	0.7285	0.85	0.6	134.83572506904602
13	0.7405	0.85	0.6	134.83572506904602
14	0.7405	0.85	0.6	134.83572506904602
15	0.7787	0.85	0.6	134.83572506904602
16	0.7907	0.85	0.6	134.83572506904602
17	0.7907	0.85	0.6	134.83572506904602
18	0.8003	0.85	0.6	134.83572506904602
19	0.8003	0.85	0.6	134.83572506904602
20	0.8003	0.85	0.6	134.83572506904602
21	0.8003	0.85	0.6	134.83572506904602
22	0.8003	0.85	0.6	134.83572506904602
23	0.8003	0.85	0.6	134.83572506904602
24	0.8003	0.85	0.6	134.83572506904602
25	0.8003	0.85	0.6	134.83572506904602
26	0.8003	0.85	0.6	134.83572506904602
27	0.8003	0.85	0.6	134.83572506904602
28	0.8003	0.85	0.6	134.83572506904602
29	0.8003	0.85	0.6	134.83572506904602
30	0.8003	0.85	0.6	134.83572506904602
31	0.8003	0.85	0.6	134.83572506904602
32	0.8003	0.85	0.6	134.83572506904602
33	0.8003	0.85	0.6	134.83572506904602
34	0.8003	0.85	0.6	134.83572506904602
35	0.8003	0.85	0.6	134.83572506904602
36	0.8003	0.85	0.6	134.83572506904602
37	0.8003	0.85	0.6	134.83572506904602
38	0.8003	0.85	0.6	134.83572506904602
39	0.8003	0.85	0.6	134.83572506904602
40	0.8003	0.85	0.6	134.83572506904602
41	0.8003	0.85	0.6	134.83572506904602
42	0.8003	0.85	0.6	134.83572506904602
43	0.8003	0.85	0.6	134.83572506904602
44	0.8003	0.85	0.6	134.83572506904602
45	0.8003	0.85	0.6	134.83572506904602
46	0.8003	0.85	0.6	134.83572506904602
47	0.802	0.85	0.6	134.83572506904602
48	0.802	0.85	0.6	134.83572506904602
49	0.802	0.85	0.6	134.83572506904602
50	0.802	0.85	0.6	134.83572506904602
51	0.802	0.85	0.6	134.83572506904602
52	0.802	0.85	0.6	134.83572506904602
53	0.802	0.85	0.6	134.83572506904602
54	0.802	0.85	0.6	134.83572506904602
55	0.802	0.85	0.6	134.83572506904602
56	0.802	0.85	0.6	134.83572506904602
57	0.802	0.85	0.6	134.83572506904602
58	0.8048	0.85	0.6	134.83572506904602
59	0.8048	0.85	0.6	134.83572506904602
60	0.8048	0.85	0.6	134.83572506904602
61	0.8048	0.85	0.6	134.83572506904602
62	0.8048	0.85	0.6	134.83572506904602
63	0.8048	0.85	0.6	134.83572506904602
64	0.8048	0.85	0.6	134.83572506904602
65	0.8048	0.85	0.6	134.83572506904602
66	0.8048	0.85	0.6	134.83572506904602
67	0.8048	0.85	0.6	134.83572506904602
68	0.8048	0.85	0.6	134.83572506904602
69	0.8048	0.85	0.6	134.83572506904602
70	0.8048	0.85	0.6	134.83572506904602
71	0.8048	0.85	0.6	134.83572506904602
72	0.8048	0.85	0.6	134.83572506904602
73	0.8048	0.85	0.6	134.83572506904602
